brand,model,price,discount,ram_DDR4,ram_DDR5,ram_lpddr4x,bit,windows,ssd(GB),hdd(GB),display,warranty_years,warranty_accidental,processor_amd_quad,processor_amd_octa,processor_amd_hexa,processor_intel
Dell,VOSTRO CORE I3 11TH GEN,37990,35.0,8.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,3.0
Hp,14S INTEL CORE I3 11TH GEN,35490,24.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,14.0,1.0,0,0,0,0,3.0
Lenovo,V15 G2 CORE I3 11TH GEN,33999,43.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,1,0,0,0,3.0
Hp,15S INTEL CORE I3 12TH GEN,45490,19.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Asus,VIVOBOOK 15,33990,26.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Asus,TUF GAMING A17 WITH 90WHR BATTERY RYZEN 7 OCTA CORE AMD R7,67990,28.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,17.3,1.0,0,0,7,0,0.0
Asus,TUF GAMING A17 WITH 90WHR BATTERY RYZEN 5 HEXA CORE AMD R5,52990,26.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,17.3,1.0,0,0,0,5,0.0
Asus,VIVOBOOK K15 OLED,47990,39.0,8.0,0.0,0.0,64.0,11.0,256.0,1024.0,15.6,1.0,0,0,0,5,0.0
Hp,RYZEN 5 HEXA CORE 5500U,49123,16.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,5,0.0
Hp,15S INTEL CORE I5 12TH GEN,57499,18.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Hp,PAVILION INTEL CORE I5 12TH GEN,62990,16.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Hp,RYZEN 3 DUAL CORE 3250U,29990,31.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,15.0,1.0,0,0,0,0,0.0
Redmibook,PRO CORE I5 11TH GEN,39990,33.0,8.0,0.0,0.0,0.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Lenovo,INTEL CELERON DUAL CORE,27799,31.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,15.6,2.0,0,0,0,0,
Acer,ASPIRE 3 RYZEN 3 DUAL CORE 3250U,26990,37.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,15.6,1.0,0,0,0,0,0.0
Asus,VIVOBOOK 15 CORE I3 11TH GEN,35990,36.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Hp,PAVILION RYZEN 5 HEXA CORE AMD R5,54990,22.0,8.0,0.0,0.0,64.0,10.0,512.0,0.0,15.6,1.0,0,0,0,5,0.0
Infinix,INBOOK X1 NEO SERIES CELERON QUAD CORE,20990,30.0,0.0,0.0,4.0,64.0,11.0,128.0,0.0,14.0,1.0,0,0,0,0,
Hp,14S INTEL CORE I3 11TH GEN,39990,19.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,3.0
Asus,VIVOBOOK 14,23990,29.0,4.0,0.0,0.0,64.0,11.0,256.0,0.0,14.0,1.0,0,0,0,0,
Hp,PAVILION RYZEN 5 HEXA CORE 5625U,51990,17.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,5,0.0
Hp,15S INTEL CORE I3 11TH GEN,40950,19.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Asus,VIVOBOOK K15 OLED,40990,30.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,15.6,1.0,0,0,0,0,3.0
Lenovo,ATHLON DUAL CORE 3150U,18990,36.0,4.0,0.0,0.0,0.0,other,0.0,1024.0,14.0,1.0,0,0,0,0,0.0
Asus,VIVOBOOK 15 TOUCH CORE I3 11TH GEN,39990,34.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Asus,VIVOBOOK 14,38990,32.0,8.0,0.0,0.0,32.0,11.0,512.0,0.0,14.0,1.0,0,5,0,0,0.0
Apple,2020 MACBOOK AIR M1,86990,12.0,8.0,0.0,0.0,0.0,other,256.0,0.0,13.3,1.0,0,0,0,0,0.0
Dell,INSPIRON CORE I3 11TH GEN,41990,31.0,8.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,3.0
Hp,ATHLON DUAL CORE 3050U,25990,28.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,14.0,1.0,0,0,0,0,0.0
Hp,INTEL CORE I5 11TH GEN,52990,36.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Dell,CORE I5 12TH GEN,65990,29.0,16.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,5.0
Acer,EXTENSA CORE I5 11TH GEN,40990,29.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Asus,VIVOBOOK 15 CORE I5 11TH GEN,46990,32.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Asus,TUF GAMING F17,109990,33.0,0.0,16.0,0.0,64.0,11.0,1024.0,0.0,17.3,1.0,0,0,0,0,7.0
Lenovo,IDEAPAD GAMING CORE I5 11TH GEN,52990,31.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,1,0,0,0,5.0
Asus,ZENBOOK 14 OLED,85990,22.0,0.0,16.0,0.0,0.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
